,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Initial Amount,Monthly Installment,Remaining Installments
0,House,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,25 minutes ago,,,
1,House,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,25 minutes ago,,,
2,House,PKR14.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,26 minutes ago,,,
3,House,PKR16.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1.1 Kanal,For Sale,7,44 minutes ago,,,
4,Flat,PKR1.11 Crore,"DHA Defence, Islamabad, Islamabad Capital",2,5.5 Marla,For Sale,2,21 hours ago,PKR22.28 Lakh,PKR2.23 Lakh,23 Months
5,House,PKR9.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,,,
6,House,PKR14 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,23 hours ago,,,
7,House,PKR3.85 Crore,"DHA Defence, Islamabad, Islamabad Capital",4,11 Marla,For Sale,3,1 day ago,,,
8,Flat,PKR2.28 Crore,"DHA Defence, Islamabad, Islamabad Capital",3,10 Marla,For Sale,3,3 days ago,,,
9,House,PKR11 Crore,"DHA Defence, Islamabad, Islamabad Capital",-,1 Kanal,For Sale,8,3 days ago,,,
10,House,PKR16.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,2 hours ago,,,
11,House,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,,,
12,Flat,PKR2.45 Crore,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,For Sale,3,3 hours ago,,,
13,House,PKR6.6 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,11 Marla,For Sale,5,3 hours ago,,,
14,House,PKR10.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,3 hours ago,,,
15,House,PKR11.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,3 hours ago,,,
16,Flat,PKR95 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2,5.1 Marla,For Sale,2,3 hours ago,,,
17,House,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,7,1 minute ago,,,
18,House,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,-,6 minutes ago,,,
19,House,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,7 minutes ago,,,
20,House,PKR7 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,51 minutes ago,,,
21,House,PKR6.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,57 minutes ago,,,
22,House,PKR9.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,9,59 minutes ago,,,
23,House,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,59 minutes ago,,,
24,House,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,7,59 minutes ago,,,
